trades,pf,exp_usd,max_dd,entry_time,year
188,1.029036834854881,36.559574468084314,36575.19999999997,10:00,2020
191,1.345251268719289,429.4173821989485,40554.5600000002,10:00,2021
200,1.0759261979278476,107.51999999999971,54892.00000000012,10:00,2022
106,0.9543945945945952,-63.67547169811244,36619.19999999998,10:00,2023
185,1.0109442653386518,15.080648648649348,42278.0799999999,10:00,2024
196,1.0247596776404986,31.841632653060365,26048.7999999999,10:05,2020
189,1.346297136079811,420.2031746031721,45742.40000000005,10:05,2021
195,1.121153486660752,167.50892307692303,60755.200000000186,10:05,2022
106,0.7181518987341755,-420.1132075471723,50833.60000000015,10:05,2023
198,1.1160332235217816,159.03232323232305,28409.839999999967,10:05,2024
197,1.325546993522122,377.67390862944603,30128.800000000163,10:10,2020
201,1.4254878941480325,490.45333333333303,32330.39999999979,10:10,2021
186,1.2812353710258622,379.32301075268873,46870.55999999982,10:10,2022
108,0.8988380651945334,-142.52592592592447,32012.000000000116,10:10,2023
205,1.3266509257692485,426.39921951219054,31474.000000000233,10:10,2024
197,1.4762279804563758,542.6639593908642,21109.600000000064,10:15,2020
201,1.1660498083929256,209.88497512437857,32159.999999999854,10:15,2021
210,0.9257739354838711,-109.5718095238096,72909.43999999989,10:15,2022
110,0.8284273909756767,-239.3469090909136,31080.96000000005,10:15,2023
206,1.1556486131808066,205.93786407766953,25264.2399999997,10:15,2024
206,1.3827484466797835,448.2687378640771,24953.440000000002,10:20,2020
210,1.3511820055334611,424.5516190476178,26251.199999999953,10:20,2021
212,0.945046104273606,-79.54566037735928,49538.39999999982,10:20,2022
107,1.2557478307760193,312.0448598130859,14000.0,10:20,2023
212,1.0082532214431175,11.104905660375255,41570.72000000015,10:20,2024
205,1.2543046507539972,298.09248780487917,37492.6400000001,10:22,2020
213,1.454401462711139,524.9607511737084,19144.639999999927,10:22,2021
214,1.3042500682408495,404.1794392523366,30000.0,10:22,2022
108,1.6299080479668702,700.7703703703723,11045.600000000122,10:22,2023
214,1.1858250814061269,237.14392523364575,22386.00000000006,10:22,2024
201,1.152983734177964,185.08736318407858,32677.44000000006,10:25,2020
214,1.2448430740156997,285.95364485981287,33486.239999999816,10:25,2021
221,1.1554772195754608,213.9417194570146,29975.199999999895,10:25,2022
112,1.31048213083532,385.4214285714365,24701.59999999989,10:25,2023
216,1.4582791842202498,555.4681481481492,22849.919999999693,10:25,2024
214,1.180433409598128,206.54654205607227,25436.00000000006,10:30,2020
217,1.393224923056452,444.45419354838924,25644.640000000072,10:30,2021
215,1.2089675833418785,280.56706976744164,36277.59999999995,10:30,2022
109,1.2684929660310769,321.6161467889903,30464.79999999996,10:30,2023
216,1.3549789104500163,439.5640740740695,38128.16000000021,10:30,2024
